label,mean_ari,var_ari,std_ari,iqr_ari,p60,p50,min_ari,max_ari,mean_nmi
STAGATE (baseline),0.5245293974876404,0.008105253800749779,0.09002918004989624,0.12395569682121277,0.212,0.598,0.2703762948513031,0.7343441843986511,0.48958534002304077
StaR (+consist only),0.5685490965843201,0.0037529843393713236,0.061261605471372604,0.08060921728610992,0.314,0.854,0.3922748565673828,0.7176365852355957,0.5322441458702087
StaR (+noise only),0.5373029708862305,0.0051177553832530975,0.07153848558664322,0.09160971641540527,0.18,0.706,0.35045304894447327,0.7207375764846802,0.5093473196029663
StaR (+var only),0.53452467918396,0.006093828938901424,0.0780629813671112,0.11262865364551544,0.21,0.664,0.31724655628204346,0.7113100290298462,0.4977859556674957
StaR (all three),0.6120368838310242,0.0018730208976194263,0.04327841103076935,0.0580919086933136,0.616,0.996,0.4986945688724518,0.7185472846031189,0.5768945217132568
